id,worker,scenario,paradigm,price importance,price min,price max,outbound departure importance,outbound departure min,outbound departure max,outbound arrival importance,outbound arrival min,outbound arrival max,outbound connections importance,outbound connections min,outbound connections max,outbound duration importance,outbound duration min,outbound duration max,returning departure importance,returning departure min,returning departure max,returning arrival importance,returning arrival min,returning arrival max,returning connections importance,returning connections min,returning connections max,returning duration importance,returning duration min,returning duration max,order1,order2,order3,order4
91,71,19,SortedBoolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,72,8,SortedBoolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,+price,,,
93,73,6,Tradeoff,1,150,150,30,480,480,,,,,,,,,,50,540,540,,,,,,,,,,,,,
94,74,8,SortedBoolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,75,12,Tradeoff,1,2000,2000,,,,500,540,540,,,,,,,500,1020,1020,,,,,,,,,,,,,
96,75,1,SimpleMAUT,6,600,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,76,14,SimpleMAUT,7,0,0,3,375,375,6,1095,1095,5,1,1,4,180,180,5,375,375,4,855,855,5,1,1,5,225,225,,,,
98,77,6,Tradeoff,1,325,325,30,1020,1020,30,1170,1170,,,,140,150,150,30,360,360,30,510,510,,,,130,150,150,,,,
99,78,19,SortedBoolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,+duration,,,
100,79,18,SimpleMAUT,,,,,,,9,600,600,,,,,,,,,,,,,,,,,,,,,,
101,80,6,Tradeoff,1,700,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,81,14,SimpleMAUT,3,0,0,,,,,,,,,,,,,8,600,600,,,,,,,,,,,,,
103,82,2,SimpleMAUT,4,350,350,5,600,600,2,810,810,5,0,0,9,195,195,6,870,870,7,1065,1065,5,0,0,4,210,210,,,,
104,83,5,Tradeoff,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,83,19,SortedBoolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,84,7,Tradeoff,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,82,3,Tradeoff,1,400,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,85,4,SimpleMAUT,9,0,0,9,660,660,,,,,,,,,,,,,,,,,,,,,,,,,
109,84,6,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+price,+duration,+connections,+outbound departure
110,85,19,SortedBoolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,+duration,,,
111,82,12,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+returning departure,+returning duration,+outbound duration,
112,86,3,Tradeoff,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,87,4,SimpleMAUT,3,1025,1025,7,750,750,,,,7,0,0,1,0,0,1,660,660,,,,7,0,0,1,0,0,,,,
114,87,5,Tradeoff,1,1975,1975,130,0,0,140,360,360,30,0,0,,,,110,0,0,80,360,360,50,0,0,50,0,0,,,,
115,88,14,SimpleMAUT,3,425,425,5,540,540,4,885,885,,,,,,,5,900,900,4,1080,1080,,,,,,,,,,
116,88,19,SortedBoolean,,,,,945,1185,,1155,1395,,,2,,120,375,,645,960,,1080,1425,,,2,,75,390,+price,,,
117,89,5,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+duration,,,
118,90,19,SortedBoolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,91,5,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+outbound departure,+outbound arrival,,
120,91,19,SortedBoolean,,,,,30,,,,,,,,,,,,,1395,,,,,,,,,,-outbound departure,,,
121,92,19,SortedBoolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,92,14,SimpleMAUT,1,0,0,,,,,,,,,,,,,7,600,600,,,,,,,5,0,0,,,,
123,67,18,SimpleMAUT,,,,,,,9,720,720,,,,,,,,,,,,,,,,,,,,,,
124,93,18,SimpleMAUT,,,,9,0,0,9,360,360,,,,,,,,,,,,,,,,,,,,,,
125,67,9,Tradeoff,1,0,0,190,1260,1260,,,,,,,,,,,,,220,405,405,,,,,,,,,,
126,67,7,Tradeoff,1,0,0,,,,,,,,,,100,0,0,,,,100,1380,1380,,,,,,,,,,
127,67,6,SimpleMAUT,,,,,,,,,,,,,9,0,0,,,,,,,,,,9,0,0,,,,
128,67,3,SimpleMAUT,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,94,9,Tradeoff,1,500,500,110,660,660,140,660,660,,,,120,120,120,140,480,480,120,615,615,,,,120,120,120,,,,
130,66,6,Tradeoff,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,95,16,SimpleMAUT,,,,,,,,,,,,,,,,,,,8,780,780,,,,,,,,,,
132,96,9,Tradeoff,1,0,0,40,1425,1425,,,,,,,,,,40,0,0,,,,,,,,,,,,,
133,66,16,SimpleMAUT,,,,,,,7,360,360,,,,,,,9,30,30,,,,,,,,,,,,,
134,95,2,SimpleMAUT,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,97,7,Tradeoff,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,97,15,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+outbound arrival,+returning departure,+price,+duration
137,98,15,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+outbound departure,+outbound arrival,,
138,98,6,Tradeoff,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,99,18,SimpleMAUT,,,,9,0,0,9,600,600,9,0,0,1,360,360,9,375,375,3,1905,1905,9,0,0,9,225,225,,,,
140,100,9,Tradeoff,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,101,9,Tradeoff,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,102,1,SortedBoolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,102,3,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+price,,,
144,102,18,SimpleMAUT,,,,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
145,103,1,SortedBoolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,+price,,,
146,104,1,SortedBoolean,,,,,360,1080,,480,1260,,,2,,,360,,300,900,,,1260,,,2,,,360,+outbound departure,,,
147,105,15,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+outbound departure,,,
148,106,9,SortedBoolean,,,,,1080,,,,720,,,0,,,,,1020,,,,420,,,0,,,,+outbound departure,,,
149,107,18,SimpleMAUT,,,,9,375,375,9,615,615,4,0,0,4,120,120,7,840,840,2,1185,1185,2,0,0,4,135,135,,,,
150,108,9,SortedBoolean,,,,,1425,,,,,,,,,,,,,0,,,,,,,,,,+outbound departure,,,
151,106,18,SimpleMAUT,,,,,,,9,600,600,4,0,0,1,0,0,,,,,,,,,,,,,,,,
152,109,3,SimpleMAUT,5,0,0,5,0,0,5,360,360,6,0,0,,,,,,,,,,,,,,,,,,,
153,110,14,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+outbound departure,,,
154,111,1,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+outbound departure,+returning departure,+price,+connections
155,111,12,Tradeoff,1,0,0,10,540,540,20,780,780,,,,20,240,240,20,480,480,20,720,720,,,,20,240,240,,,,
156,112,7,Tradeoff,1,0,0,,,,100,975,975,100,0,0,90,0,0,,,,,,,100,0,0,100,0,0,,,,
157,113,18,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+returning arrival,+outbound departure,+duration,+connections
158,114,1,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+price,,,
159,115,16,SortedBoolean,,,,,450,915,,,,,,0,,,,,555,840,,,,,,0,,,,,,,
160,116,1,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+price,+duration,+outbound departure,+returning departure
161,117,16,SortedBoolean,,,,,,,,720,1260,,,,,,,,480,840,,,1320,,,,,,,,,,
162,118,12,Tradeoff,1,375,375,80,420,420,70,750,750,90,0,0,70,210,210,120,0,0,100,810,810,110,0,0,120,210,210,,,,
163,118,3,SortedBoolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,119,14,SimpleMAUT,,,,,,,,,,,,,,,,9,0,0,,,,,,,5,0,0,,,,
165,120,6,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+price,+outbound arrival,,
166,120,15,SimpleMAUT,,,,,,,9,660,660,,,,,,,9,840,840,,,,,,,,,,,,,
167,121,14,SimpleMAUT,4,450,450,3,480,480,4,1305,1305,3,1,1,4,255,255,3,285,285,3,840,840,2,1,1,4,360,360,,,,
168,121,13,Tradeoff,1,700,700,280,450,450,310,1380,1380,310,1,1,200,180,180,160,360,360,210,960,960,230,1,1,210,225,225,,,,
169,122,17,Tradeoff,1,625,625,10,900,900,10,1260,1260,70,0,0,,,,10,900,900,10,1050,1050,70,0,0,,,,,,,
170,122,18,SortedBoolean,,,,,,540,,,840,,,2,,,360,,,,,,,,,,,,,+outbound arrival,,,
171,123,12,Tradeoff,1,500,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,124,19,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+outbound departure,,,
173,125,2,Lexical,,,,,,,,,,,,,,,,,,,,,,,,,,,,+duration,+outbound departure,+outbound arrival,
174,126,17,Tradeoff,1,850,850,600,495,495,610,885,885,270,1,1,290,285,285,560,510,510,320,900,900,410,2,2,420,330,330,,,,
